S:32 E:1 B:32 
hits:131 misses:82 evictions50
hits:132 misses:82 evictions50
hits:133 misses:82 evictions50
hits:133 misses:83 evictions51
hits:134 misses:83 evictions51
hits:135 misses:83 evictions51
hits:135 misses:84 evictions52
hits:136 misses:84 evictions52
hits:136 misses:85 evictions53
hits:136 misses:86 evictions54
hits:137 misses:86 evictions54
hits:137 misses:87 evictions55
hits:137 misses:88 evictions56
hits:138 misses:88 evictions56
hits:139 misses:88 evictions56
hits:139 misses:89 evictions57
hits:140 misses:89 evictions57
hits:141 misses:89 evictions57
hits:142 misses:89 evictions57
hits:142 misses:90 evictions58
hits:143 misses:90 evictions58
hits:144 misses:90 evictions58
hits:145 misses:90 evictions58
hits:145 misses:91 evictions59
hits:146 misses:91 evictions59
hits:147 misses:91 evictions59
hits:148 misses:91 evictions59
hits:148 misses:92 evictions60
hits:149 misses:92 evictions60
hits:150 misses:92 evictions60
hits:151 misses:92 evictions60
hits:151 misses:93 evictions61
hits:152 misses:93 evictions61
hits:153 misses:93 evictions61
hits:154 misses:93 evictions61
hits:154 misses:94 evictions62
hits:155 misses:94 evictions62
hits:156 misses:94 evictions62
hits:157 misses:94 evictions62
hits:157 misses:95 evictions63
hits:158 misses:95 evictions63
hits:159 misses:95 evictions63
hits:160 misses:95 evictions63
hits:160 misses:96 evictions64
hits:161 misses:96 evictions64
hits:162 misses:96 evictions64
hits:163 misses:96 evictions64
hits:163 misses:97 evictions65
hits:164 misses:97 evictions65
hits:165 misses:97 evictions65
hits:166 misses:97 evictions65
hits:166 misses:98 evictions66
hits:167 misses:98 evictions66
hits:168 misses:98 evictions66
hits:169 misses:98 evictions66
hits:169 misses:99 evictions67
hits:170 misses:99 evictions67
hits:171 misses:99 evictions67
hits:172 misses:99 evictions67
hits:172 misses:100 evictions68
hits:173 misses:100 evictions68
hits:174 misses:100 evictions68
hits:175 misses:100 evictions68
hits:175 misses:101 evictions69
hits:176 misses:101 evictions69
hits:176 misses:102 evictions70
hits:176 misses:103 evictions71
hits:177 misses:103 evictions71
hits:177 misses:104 evictions72
hits:178 misses:104 evictions72
hits:178 misses:105 evictions73
hits:179 misses:105 evictions73
hits:179 misses:106 evictions74
hits:179 misses:107 evictions75
hits:180 misses:107 evictions75
hits:181 misses:107 evictions75
hits:181 misses:108 evictions76
hits:181 misses:109 evictions77
hits:182 misses:109 evictions77
hits:182 misses:110 evictions78
hits:182 misses:111 evictions79
hits:183 misses:111 evictions79
hits:183 misses:112 evictions80
hits:184 misses:112 evictions80
hits:185 misses:112 evictions80
hits:186 misses:112 evictions80
hits:186 misses:113 evictions81
hits:187 misses:113 evictions81
hits:188 misses:113 evictions81
hits:189 misses:113 evictions81
hits:190 misses:113 evictions81
hits:191 misses:113 evictions81
hits:191 misses:114 evictions82
hits:192 misses:114 evictions82
hits:193 misses:114 evictions82
hits:194 misses:114 evictions82
hits:194 misses:115 evictions83
