Cache_ID,Hits,Misses,Evictions
1,5998324,8654653,8652771
2,5211785,8703081,8701462
3,5226041,8306498,8305185
4,5718043,7379169,7377286
5,5949584,8140998,8139157
6,4665940,7814472,7813146
7,5670110,7118479,7116919
