Cache_ID,Hits,Misses,Evictions
1,5115877,8316808,8315223
2,6676140,7361981,7360229
3,4995417,8663412,8661985
4,5023342,7753307,7751628
5,5612646,7292905,7291072
6,5313174,6886083,6884451
7,5473528,8786013,8784532
