Cache_ID,Hits,Misses,Evictions
1,5908212,7057762,7055659
2,5281323,6893745,6892310
3,4547371,7530175,7528994
4,5893671,8829059,8827200
5,5058500,7562064,7560968
6,5385708,7112699,7111173
7,5247834,6855165,6853820
